题目名,提交次数,相邻提交分数相同次数,提交用户数,未满分用户数,分数为0用户数,分数,平均分,分数中位数,平均提交次数,提交次数中位数,平均相邻提交分数相同次数,相邻提交分数相同次数中位数
单词分类,"[6, 6, 43, 6, 2, 6, 1, 1, 16, 1, 1, 1, 3, 1, 1, 1, 1, 30, 2, 4, 1, 7, 1, 2, 4, 17, 1, 1, 2, 11, 1, 6, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 15, 19, 2, 1, 1, 1, 1, 11, 14, 2, 7, 16, 10, 3, 1, 10, 1, 11, 1, 11, 1, 1, 2, 2, 11, 1, 6, 1, 7, 3, 4, 2, 1, 11, 1, 1, 1, 2, 2, 16, 1, 2, 2, 1, 1, 16, 6, 40, 1]","[4, 4, 23, 5, 1, 0, 0, 0, 13, 0, 0, 0, 1, 0, 0, 0, 0, 15, 0, 2, 0, 5, 0, 1, 3, 14, 0, 0, 1, 10, 0, 3, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 14, 13, 1, 0, 0, 0, 0, 5, 13, 1, 6, 15, 9, 2, 0, 7, 0, 10, 0, 8, 0, 0, 1, 1, 5, 0, 5, 0, 6, 2, 2, 0, 0, 6, 0, 0, 0, 1, 1, 15, 0, 1, 1, 0, 0, 6, 4, 38, 0]",94,4,1,"[40, 0, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 60, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 40, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",97.23404255319149,100.0,5.180851063829787,2.0,3.265957446808511,1.0
后缀转中缀,"[4, 9, 2, 4, 1, 1, 2, 1, 1, 5, 1, 2, 1, 1, 1, 3, 1, 1, 1, 2, 4, 12, 12, 3, 1, 2, 16, 10, 7, 1, 3, 8, 1, 1, 8, 1, 1, 4, 1, 1, 1, 1, 1, 1]","[3, 6, 1, 2, 0, 0, 1, 0, 0, 4, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 3, 9, 6, 2, 0, 1, 7, 6, 6, 0, 2, 5, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0]",44,4,0,"[100, 100, 100, 40, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 60, 100, 100, 100, 100, 60, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 20]",95.0,100.0,3.2954545454545454,1.0,1.5681818181818181,0.0
字符串,"[0, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2, 3, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 2, 2, 3, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",48,0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",100.0,100.0,1.2708333333333333,1.0,0.2916666666666667,0.0
后缀排序,"[4, 14, 3, 2, 1, 2, 1, 1, 9, 2, 2, 8, 1, 4, 3, 6, 2, 5, 1, 2, 4, 2, 4, 4, 10, 12, 8, 3, 3, 1, 12, 5, 11, 3, 5, 1, 1, 7, 2, 1, 2, 1, 1, 1, 2, 1, 1, 10, 10, 1, 5, 1, 1, 1, 1, 1, 11, 1, 7, 11, 1, 1, 1, 8, 1, 7, 1, 1, 1, 1, 2, 1, 7, 2, 2, 1, 5, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 7, 1, 1, 1, 2, 14, 5, 1, 3, 1, 1, 3, 1, 4, 1, 1, 1, 3, 1, 2, 3, 5, 1, 1, 10, 1, 1, 3, 1, 1, 1, 1, 1, 1, 3, 1, 2, 3, 2, 22, 1, 1]","[3, 12, 2, 1, 0, 0, 0, 0, 5, 1, 1, 7, 0, 1, 2, 4, 1, 3, 0, 0, 1, 1, 3, 3, 8, 11, 3, 1, 2, 0, 7, 2, 10, 2, 3, 0, 0, 5, 1, 0, 1, 0, 0, 0, 0, 0, 0, 7, 7, 0, 4, 0, 0, 0, 0, 0, 5, 0, 5, 4, 0, 0, 0, 7, 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 1, 0, 4, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 0, 0, 0, 1, 4, 4, 0, 2, 0, 0, 1, 0, 3, 0, 0, 0, 1, 0, 1, 1, 2, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 21, 0, 0]",135,5,0,"[50, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 50, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 50, 100, 50, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 50, 100, 100, 100, 100, 100]",98.14814814814815,100.0,3.140740740740741,1.0,1.5851851851851853,0.0
多数元素,"[1, 4, 1, 2, 1, 3, 1, 1, 3, 1, 1, 1, 2, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 3, 5, 2, 3, 1, 1, 1, 4, 5, 3, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 5]","[0, 1, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 1, 1, 0, 0, 0, 1, 3, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4]",48,2,0,"[25, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 25, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",96.875,100.0,1.75,1.0,0.5208333333333334,0.0
森雅学加法,"[2, 1, 1, 18, 1, 4, 1, 5, 6, 3, 5, 1, 3, 2, 1, 2, 5, 1, 2, 4, 1, 1, 1, 3, 1, 2, 2, 2, 1, 1, 1, 3, 2, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1]","[2, 0, 0, 12, 0, 3, 0, 4, 5, 2, 2, 0, 2, 1, 0, 1, 2, 0, 1, 1, 0, 0, 0, 2, 0, 1, 1, 1, 0, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0]",52,1,1,"[0, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",98.07692307692308,100.0,2.2115384615384617,1.5,1.0192307692307692,0.5
计算右侧小于当前元素的个数,"[5, 1, 1, 2, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 14, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]","[4, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",93,1,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 80, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",99.78494623655914,100.0,1.3978494623655915,1.0,0.23655913978494625,0.0
在排序数组中查找元素的第一个和最后一个位置,"[2, 19, 3, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 4, 1, 3, 2, 1, 1, 3, 1, 1, 1, 1, 1, 1, 7, 2, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 5, 1, 1, 3, 1, 1, 1, 1, 4, 2, 1, 1, 1, 4, 1, 1, 7, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]","[1, 12, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 3, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",92,3,0,"[20, 100, 100, 100, 80, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 60, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",98.47826086956522,100.0,1.7065217391304348,1.0,0.34782608695652173,0.0
子串查找,"[6, 2, 2, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 3, 2, 5, 1, 2, 5, 7, 1, 2, 1, 1, 1, 2, 2, 1, 2, 1, 2, 1, 2, 1, 1]","[2, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 1, 4, 0, 1, 4, 6, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0]",45,0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",100.0,100.0,1.8,1.0,0.7111111111111111,0.0
找相同字符,"[26, 1, 1, 4, 3, 1, 4, 1, 1, 2, 1, 3, 1, 1, 1, 25, 1, 1, 11, 2, 9, 8, 7, 2, 2, 19, 6, 6, 3, 4, 1, 1, 4, 2, 1, 2, 1, 1, 1, 3, 1, 1, 1, 2, 3, 9, 1, 2, 1, 7, 1, 1, 1, 2, 2, 11, 35, 16, 1, 11, 1, 2, 2, 2, 3, 2, 2, 1, 2, 1, 3, 1, 5, 2, 1]","[11, 0, 0, 1, 2, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 9, 0, 0, 6, 1, 6, 5, 2, 1, 0, 8, 2, 3, 1, 2, 0, 0, 3, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 4, 0, 1, 0, 6, 0, 0, 0, 1, 1, 6, 13, 7, 0, 9, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 2, 0, 1, 1, 0]",75,15,0,"[100, 100, 100, 100, 20, 100, 100, 100, 100, 100, 20, 100, 100, 100, 100, 100, 20, 100, 20, 100, 100, 20, 100, 100, 100, 100, 100, 20, 100, 100, 100, 100, 20, 100, 100, 100, 100, 100, 40, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 20, 100, 100, 20, 100, 20, 100, 100, 100, 100, 100, 100, 100, 20, 100, 100, 100, 100, 100, 100, 100, 20, 100, 100, 20, 20]",84.26666666666667,100.0,4.173333333333333,2.0,1.6933333333333334,1.0
甲苯先生和大中锋的字符串,"[16, 2, 1, 2, 1, 2, 1, 10, 1, 1, 1, 3, 4, 1, 1, 1, 8, 4, 1, 6, 2, 2, 1, 14, 12, 6, 7, 7, 24, 1, 2, 1, 22, 2, 2, 1, 5, 1, 1]","[11, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 3, 0, 0, 0, 2, 2, 0, 3, 0, 1, 0, 6, 4, 0, 4, 3, 16, 0, 1, 0, 11, 0, 1, 0, 3, 0, 0]",39,7,1,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 83.33, 83.33, 83.33, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 83.33, 100, 100, 100, 83.33, 0, 33.33, 100]",93.58923076923075,100.0,4.615384615384615,2.0,1.9743589743589745,0.0
